"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";
2612044;"Osiek - urban area (4)";1687;394;41;228;
2612045;"Osiek - rural area (5)";4778;691;151;987;
2612053;"Połaniec (3)";9766;2294;244;1040;
2612054;"Połaniec - urban area (4)";6686;1810;137;510;
2612055;"Połaniec - rural area (5)";3080;484;107;530;
2612062;"Rytwiany (2)";5501;994;152;855;
2612073;"Staszów (3)";22049;4986;523;2302;
2612074;"Staszów - urban area (4)";12659;3407;265;999;
2612075;"Staszów - rural area (5)";9390;1579;258;1303;
2612083;"Szydłów (3)";3889;617;102;657;
2612084;"Szydłów - urban area (4)";865;219;23;73;
2612085;"Szydłów - rural area (5)";3024;398;79;584;
2613000;"Powiat włoszczowski";38323;7003;1026;6590;
2613012;"Kluczewsko (2)";4344;646;129;931;
2613022;"Krasocin (2)";8899;1445;267;1637;
2613032;"Moskorzew (2)";2301;309;75;423;
2613042;"Radków (2)";2098;233;58;489;
2613052;"Secemin (2)";4056;543;121;796;
2613063;"Włoszczowa (3)";16625;3827;376;2314;
2613064;"Włoszczowa - urban area (4)";8629;2415;173;766;
2613065;"Włoszczowa - rural area (5)";7996;1412;203;1548;
2661000;"City with powiat status Kielce";164442;61177;3263;12378;
2661011;"Kielce (1)";164442;61177;3263;12378;
2800000;"WARMIŃSKO-MAZURSKIE";1196559;242200;41050;184625;
2801000;"Powiat bartoszycki";47499;7466;1547;8423;
2801011;"Bartoszyce (1)";19623;4166;501;2441;
2801021;"Górowo Iławeckie (1)";3377;606;80;512;
2801032;"Bartoszyce (2)";8829;1139;372;1851;
2801043;"Bisztynek (3)";5112;539;217;1192;
2801044;"Bisztynek - urban area (4)";1999;281;70;358;
2801045;"Bisztynek - rural area (5)";3113;258;147;834;
2801052;"Górowo Iławeckie (2)";5463;513;200;1317;
2801063;"Sępopol (3)";5095;503;177;1110;
2801064;"Sępopol - urban area (4)";1687;209;40;263;
2801065;"Sępopol - rural area (5)";3408;294;137;847;
2802000;"Powiat braniewski";33539;5461;1299;5886;
2802011;"Braniewo (1)";14260;3052;468;1658;
2802022;"Braniewo (2)";4802;528;262;1057;
2802033;"Frombork (3)";2861;470;101;526;
2802034;"Frombork - urban area (4)";1914;393;61;246;
2802035;"Frombork - rural area (5)";947;77;40;280;
2802042;"Lelkowo (2)";2202;180;111;551;
2802053;"Pieniężno (3)";5089;769;156;1015;
2802054;"Pieniężno - urban area (4)";2251;400;53;338;
2802055;"Pieniężno - rural area (5)";2838;369;103;677;
2802062;"Płoskinia (2)";2032;258;104;424;
2802072;"Wilczęta (2)";2293;204;97;655;
2803000;"Powiat działdowski";53760;8288;1820;10094;
2803011;"Działdowo (1)";17923;3887;510;2262;
2803022;"Działdowo (2)";7958;855;332;2094;
2803032;"Iłowo-Osada (2)";5872;787;227;1026;
2803043;"Lidzbark (3)";11603;1535;404;2254;
2803044;"Lidzbark - urban area (4)";6476;997;202;1024;
2803045;"Lidzbark - rural area (5)";5127;538;202;1230;
2803052;"Płośnica (2)";4588;501;137;1167;
2803062;"Rybno (2)";5816;723;210;1291;
2804000;"Powiat elbląski";47704;6793;1953;8575;
2804012;"Elbląg (2)";6498;1108;238;1092;
2804022;"Godkowo (2)";2438;188;86;626;
2804032;"Gronowo Elbląskie (2)";4228;554;180;740;
2804042;"Markusy (2)";3339;267;195;737;
2804052;"Milejewo (2)";2806;478;128;447;
2804063;"Młynary (3)";3716;459;180;711;
2804064;"Młynary - urban area (4)";1476;248;63;207;
2804065;"Młynary - rural area (5)";2240;211;117;504;
2804073;"Pasłęk (3)";16178;2694;605;2499;
2804074;"Pasłęk - urban area (4)";10511;2122;315;1260;
2804075;"Pasłęk - rural area (5)";5667;572;290;1239;
2804082;"Rychliki (2)";3112;266;135;774;
2804093;"Tolkmicko (3)";5389;779;206;949;
2804094;"Tolkmicko - urban area (4)";2191;302;71;381;
2804095;"Tolkmicko - rural area (5)";3198;477;135;568;
2805000;"Powiat ełcki";76506;14927;2936;10904;
2805011;"Ełk (1)";51897;11548;1762;5757;
2805022;"Ełk (2)";10253;1911;459;1756;
2805032;"Kalinowo (2)";5465;483;258;1382;
2805042;"Prostki (2)";5853;614;323;1342;
2805052;"Stare Juchy (2)";3038;371;134;667;
2806000;"Powiat giżycki";47838;9453;1660;7384;
2806011;"Giżycko (1)";24811;5783;757;2904;
2806042;"Giżycko (2)";7367;1520;272;1160;
2806052;"Kruklanki (2)";2596;421;86;513;
2806062;"Miłki (2)";3050;416;151;617;
2806083;"Ryn (3)";4814;634;189;1064;
2806084;"Ryn - urban area (4)";2454;335;84;490;
2806085;"Ryn - rural area (5)";2360;299;105;574;
2806102;"Wydminy (2)";5200;679;205;1126;
2807000;"Powiat iławski";77576;12549;2608;13365;
2807011;"Iława (1)";28476;6285;728;3443;
2807021;"Lubawa (1)";8849;1618;286;1222;
2807032;"Iława (2)";10943;1576;446;2126;
2807043;"Kisielice (3)";4856;492;175;1139;
2807044;"Kisielice - urban area (4)";1801;289;47;291;
2807045;"Kisielice - rural area (5)";3055;203;128;848;
2807052;"Lubawa (2)";8674;929;327;1743;
2807063;"Susz (3)";10230;1086;423;2395;
2807064;"Susz - urban area (4)";4598;686;177;747;
2807065;"Susz - rural area (5)";5632;400;246;1648;
2807073;"Zalewo (3)";5548;563;223;1297;
2807074;"Zalewo - urban area (4)";1848;242;51;319;
2807075;"Zalewo - rural area (5)";3700;321;172;978;
2808000;"Powiat kętrzyński";51818;8526;1842;9051;
2808011;"Kętrzyn (1)";23105;5045;690;2834;
2808022;"Barciany (2)";4972;445;219;1297;
2808032;"Kętrzyn (2)";6665;913;241;1501;
2808043;"Korsze (3)";7873;849;371;1722;
2808044;"Korsze - urban area (4)";3578;505;124;593;
2808045;"Korsze - rural area (5)";4295;344;247;1129;
2808053;"Reszel (3)";6115;914;195;1084;
2808054;"Reszel - urban area (4)";3715;620;111;558;
2808055;"Reszel - rural area (5)";2400;294;84;526;
2808062;"Srokowo (2)";3088;360;126;613;
2809000;"Powiat lidzbarski";34150;5586;1115;5309;
2809011;"Lidzbark Warmiński (1)";13117;2923;369;1438;
2809022;"Kiwity (2)";2726;303;83;559;
2809032;"Lidzbark Warmiński (2)";5598;720;210;1102;
2809042;"Lubomino (2)";2883;272;132;658;
2809053;"Orneta (3)";9826;1368;321;1552;
2809054;"Orneta - urban area (4)";7268;1092;211;979;
2809055;"Orneta - rural area (5)";2558;276;110;573;
2810000;"Powiat mrągowski";42535;7305;1519;6953;
2810011;"Mrągowo (1)";18683;4049;563;2185;
2810023;"Mikołajki (3)";6745;942;283;1441;
2810024;"Mikołajki - urban area (4)";3145;555;100;511;
2810025;"Mikołajki - rural area (5)";3600;387;183;930;
2810032;"Mrągowo (2)";6898;1067;259;1219;
2810042;"Piecki (2)";6341;825;245;1241;
2810052;"Sorkwity (2)";3868;422;169;867;
2811000;"Powiat nidzicki";27012;4022;1125;5641;
2811012;"Janowiec Kościelny (2)";2588;259;138;684;
2811022;"Janowo (2)";2199;262;102;480;
2811032;"Kozłowo (2)";4730;400;233;1479;
2811043;"Nidzica (3)";17495;3101;652;2998;
2811044;"Nidzica - urban area (4)";11549;2291;369;1578;
2811045;"Nidzica - rural area (5)";5946;810;283;1420;
2812000;"Powiat nowomiejski";36056;4814;1261;6539;
2812011;"Nowe Miasto Lubawskie (1)";9070;1690;303;1160;
2812022;"Biskupiec (2)";7527;770;304;1634;
2812032;"Grodziczno (2)";5060;463;169;1178;
2812042;"Kurzętnik (2)";7446;969;235;1313;
2812052;"Nowe Miasto Lubawskie (2)";6953;922;250;1254;
2813000;"Powiat olecki";28184;4778;1209;4937;
2813032;"Kowale Oleckie (2)";4030;421;218;965;
2813043;"Olecko (3)";18400;3692;689;2701;
2813044;"Olecko - urban area (4)";13906;3069;448;1758;
2813045;"Olecko - rural area (5)";4494;623;241;943;
2813052;"Świętajno (2)";2975;364;148;645;
2813062;"Wieliczki (2)";2779;301;154;626;
2814000;"Powiat olsztyński";109655;25588;3692;16524;
2814013;"Barczewo (3)";15457;3263;590;2352;
2814014;"Barczewo - urban area (4)";6461;1239;226;911;
2814015;"Barczewo - rural area (5)";8996;2024;364;1441;
2814023;"Biskupiec (3)";15772;2561;526;2553;
2814024;"Biskupiec - urban area (4)";8958;1836;231;1119;
2814025;"Biskupiec - rural area (5)";6814;725;295;1434;
2814033;"Dobre Miasto (3)";13266;2216;449;2093;
2814034;"Dobre Miasto - urban area (4)";8466;1552;254;1171;
2814035;"Dobre Miasto - rural area (5)";4800;664;195;922;
2814042;"Dywity (2)";10998;3767;351;1115;
2814052;"Gietrzwałd (2)";5785;1712;194;894;
2814063;"Jeziorany (3)";6316;714;236;1240;
2814064;"Jeziorany - urban area (4)";2738;360;92;435;
2814065;"Jeziorany - rural area (5)";3578;354;144;805;
2814072;"Jonkowo (2)";6515;1783;213;847;
2814082;"Kolno (2)";2504;289;82;572;
2814093;"Olsztynek (3)";11499;1986;377;2115;
2814094;"Olsztynek - urban area (4)";6411;1312;188;903;
2814095;"Olsztynek - rural area (5)";5088;674;189;1212;
2814102;"Purda (2)";7513;1825;284;1172;
2814112;"Stawiguda (2)";10801;5088;254;784;
2814122;"Świątki (2)";3229;384;136;787;
2815000;"Powiat ostródzki";87404;13865;3268;15810;
2815011;"Ostróda (1)";28190;5899;791;3459;
2815022;"Dąbrówno (2)";3425;367;155;996;
2815032;"Grunwald (2)";4406;388;221;1275;
2815042;"Łukta (2)";3755;480;182;803;
2815052;"Małdyty (2)";5053;583;211;1111;
2815063;"Miłakowo (3)";4484;517;194;983;
2815064;"Miłakowo - urban area (4)";2215;347;96;348;
2815065;"Miłakowo - rural area (5)";2269;170;98;635;
2815073;"Miłomłyn (3)";4168;532;173;892;
2815074;"Miłomłyn - urban area (4)";2062;318;88;362;
2815075;"Miłomłyn - rural area (5)";2106;214;85;530;
2815083;"Morąg (3)";20389;3129;771;3532;
2815084;"Morąg - urban area (4)";11633;2210;364;1496;
2815085;"Morąg - rural area (5)";8756;919;407;2036;
2815092;"Ostróda (2)";13534;1970;570;2759;
2816000;"Powiat piski";46342;7152;1975;9496;
2816013;"Biała Piska (3)";9264;1047;529;2322;
2816014;"Biała Piska - urban area (4)";3259;525;142;629;
2816015;"Biała Piska - rural area (5)";6005;522;387;1693;
2816023;"Orzysz (3)";7369;1058;354;1455;
2816024;"Orzysz - urban area (4)";4651;755;219;742;
2816025;"Orzysz - rural area (5)";2718;303;135;713;
2816033;"Pisz (3)";23043;3988;870;4358;
2816034;"Pisz - urban area (4)";15991;3012;542;2604;
2816035;"Pisz - rural area (5)";7052;976;328;1754;
2816043;"Ruciane-Nida (3)";6666;1059;222;1361;
2816044;"Ruciane-Nida - urban area (4)";3718;654;110;662;
2816045;"Ruciane-Nida - rural area (5)";2948;405;112;699;
2817000;"Powiat szczycieński";58273;10497;2236;10995;
2817011;"Szczytno (1)";19867;4698;589;2692;
2817022;"Dźwierzuty (2)";5290;593;251;1273;
2817032;"Jedwabno (2)";3014;415;124;766;
2817043;"Pasym (3)";4458;702;172;870;
2817044;"Pasym - urban area (4)";2095;386;69;361;
2817045;"Pasym - rural area (5)";2363;316;103;509;
2817052;"Rozogi (2)";4541;553;184;1027;
2817062;"Szczytno (2)";11082;2330;445;1972;
2817072;"Świętajno (2)";4757;615;193;1068;
2817083;"Wielbark (3)";5264;591;278;1327;
2817084;"Wielbark - urban area (4)";2471;371;119;440;
2817085;"Wielbark - rural area (5)";2793;220;159;887;
2818000;"Powiat gołdapski";21842;3475;939;4131;
2818012;"Banie Mazurskie (2)";3002;321;121;704;
2818022;"Dubeninki (2)";2350;273;98;678;
2818033;"Gołdap (3)";16490;2881;720;2749;
2818034;"Gołdap - urban area (4)";11411;2348;423;1516;
2818035;"Gołdap - rural area (5)";5079;533;297;1233;
2819000;"Powiat węgorzewski";18782;3157;657;3266;
2819012;"Budry (2)";2326;238;125;630;
2819022;"Pozezdrze (2)";2650;377;99;539;
2819033;"Węgorzewo (3)";13806;2542;433;2097;
2819034;"Węgorzewo - urban area (4)";9579;1980;276;1187;
2819035;"Węgorzewo - rural area (5)";4227;562;157;910;
2861000;"City with powiat status Elbląg";101580;24436;2926;9594;
2861011;"Elbląg (1)";101580;24436;2926;9594;
2862000;"City with powiat status Olsztyn";148504;54062;3463;11748;
2862011;"Olsztyn (1)";148504;54062;3463;11748;
3000000;"WIELKOPOLSKIE";2997003;691069;87213;335167;
3001000;"Powiat chodzieski";39771;6228;1191;5281;
3001011;"Chodzież (1)";15902;3103;366;1548;
3001023;"Budzyń (3)";7087;844;224;1145;
3001024;"Budzyń - urban area (4)";3903;613;112;483;
3001025;"Budzyń - rural area (5)";3184;231;112;662;
3001032;"Chodzież (2)";5134;853;153;778;
3001043;"Margonin (3)";5379;714;198;805;
3001044;"Margonin - urban area (4)";2562;436;91;298;
3001045;"Margonin - rural area (5)";2817;278;107;507;
3001053;"Szamocin (3)";6269;714;250;1005;
3001054;"Szamocin - urban area (4)";3490;495;130;447;
3001055;"Szamocin - rural area (5)";2779;219;120;558;
3002000;"Powiat czarnkowsko-trzcianecki";72876;11813;2318;10012;
3002011;"Czarnków (1)";9039;1894;235;836;
3002022;"Czarnków (2)";9364;1441;304;1296;
3002032;"Drawsko (2)";4912;609;172;911;
3002043;"Krzyż Wielkopolski (3)";7254;1097;231;964;
3002044;"Krzyż Wielkopolski - urban area (4)";5172;830;150;618;
3002045;"Krzyż Wielkopolski - rural area (5)";2082;267;81;346;
3002052;"Lubasz (2)";6335;1058;156;936;
3002062;"Połajewo (2)";5115;524;153;797;
3002073;"Trzcianka (3)";20428;3885;661;2411;
3002074;"Trzcianka - urban area (4)";14492;3038;428;1402;
3002075;"Trzcianka - rural area (5)";5936;847;233;1009;
3002083;"Wieleń (3)";10429;1305;406;1861;
3002084;"Wieleń - urban area (4)";5128;759;181;764;
3002085;"Wieleń - rural area (5)";5301;546;225;1097;
3003000;"Powiat gnieźnieński";121395;22410;3646;14359;
3003011;"Gniezno (1)";56984;11904;1646;5519;
3003023;"Czerniejewo (3)";6027;876;177;902;
3003024;"Czerniejewo - urban area (4)";2184;312;65;276;
3003025;"Czerniejewo - rural area (5)";3843;564;112;626;
3003032;"Gniezno (2)";10891;2603;366;1182;
3003042;"Kiszkowo (2)";4416;590;140;684;
3003053;"Kłecko (3)";6164;742;221;907;
3003054;"Kłecko - urban area (4)";2203;331;63;229;
3003055;"Kłecko - rural area (5)";3961;411;158;678;
3003062;"Łubowo (2)";5765;1160;151;821;
3003072;"Mieleszyn (2)";3176;332;115;468;
3003082;"Niechanowo (2)";4977;796;156;775;
3003093;"Trzemeszno (3)";11801;1564;334;1648;
3003094;"Trzemeszno - urban area (4)";6432;945;165;795;
3003095;"Trzemeszno - rural area (5)";5369;619;169;853;
3003103;"Witkowo (3)";11194;1843;340;1453;
3003104;"Witkowo - urban area (4)";6526;1381;187;614;
3003105;"Witkowo - rural area (5)";4668;462;153;839;
3004000;"Powiat gostyński";63119;9574;1746;8267;
3004013;"Borek Wielkopolski (3)";6164;751;159;901;
3004014;"Borek Wielkopolski - urban area (4)";2097;392;46;190;
3004015;"Borek Wielkopolski - rural area (5)";4067;359;113;711;
3004023;"Gostyń (3)";23693;4431;626;2717;
3004024;"Gostyń - urban area (4)";17232;3616;429;1713;
3004025;"Gostyń - rural area (5)";6461;815;197;1004;
3004033;"Krobia (3)";10801;1460;273;1440;
3004034;"Krobia - urban area (4)";3714;742;79;337;
3004035;"Krobia - rural area (5)";7087;718;194;1103;
3004042;"Pępowo (2)";4930;550;135;725;
3004052;"Piaski (2)";7087;1100;234;961;
3004063;"Pogorzela (3)";4037;465;123;520;
3004064;"Pogorzela - urban area (4)";1722;286;44;167;
3004065;"Pogorzela - rural area (5)";2315;179;79;353;
3004073;"Poniec (3)";6407;817;196;1003;
3004074;"Poniec - urban area (4)";2485;414;69;290;
3004075;"Poniec - rural area (5)";3922;403;127;713;
3005000;"Powiat grodziski";43209;6103;1378;5552;
3005012;"Granowo (2)";4152;543;153;630;
3005023;"Grodzisk Wielkopolski (3)";17074;3053;517;1762;
3005024;"Grodzisk Wielkopolski - urban area (4)";12761;2535;385;1142;
3005025;"Grodzisk Wielkopolski - rural area (5)";4313;518;132;620;
3005032;"Kamieniec (2)";5259;530;172;845;
3005043;"Rakoniewice (3)";11036;1325;356;1528;
3005044;"Rakoniewice - urban area (4)";3085;505;74;315;
3005045;"Rakoniewice - rural area (5)";7951;820;282;1213;
3005053;"Wielichowo (3)";5688;652;180;787;
3005054;"Wielichowo - urban area (4)";1467;234;32;147;
3005055;"Wielichowo - rural area (5)";4221;418;148;640;
3006000;"Powiat jarociński";59953;10001;1820;7029;
3006013;"Jaraczewo (3)";6645;787;232;878;
3006014;"Jaraczewo - urban area (4)";1169;138;44;145;
3006015;"Jaraczewo - rural area (5)";5476;649;188;733;
3006023;"Jarocin (3)";38857;7492;1127;3914;
3006024;"Jarocin - urban area (4)";22822;5137;596;1854;
3006025;"Jarocin - rural area (5)";16035;2355;531;2060;
3006032;"Kotlin (2)";6003;715;199;933;
3006043;"Żerków (3)";8448;1007;262;1304;
3006044;"Żerków - urban area (4)";1813;409;52;184;
3006045;"Żerków - rural area (5)";6635;598;210;1120;
3007000;"Powiat kaliski";70643;12478;2189;12586;
3007012;"Blizanów (2)";8538;1609;241;1311;
3007022;"Brzeziny (2)";4929;735;184;953;
3007032;"Ceków-Kolonia (2)";4052;669;94;783;
3007042;"Godziesze Wielkie (2)";8304;1653;303;1379;
3007053;"Koźminek (3)";6304;1010;194;1268;
3007054;"Koźminek - urban area (4)";1611;347;32;208;
3007055;"Koźminek - rural area (5)";4693;663;162;1060;
3007062;"Lisków (2)";4546;778;138;939;
3007072;"Mycielin (2)";4056;483;127;968;
3007083;"Opatówek (3)";9261;2096;285;1262;
3007084;"Opatówek - urban area (4)";3130;757;96;398;
3007085;"Opatówek - rural area (5)";6131;1339;189;864;
3007093;"Stawiszyn (3)";5952;947;150;1034;
3007094;"Stawiszyn - urban area (4)";1248;214;18;194;
3007095;"Stawiszyn - rural area (5)";4704;733;132;840;
3007102;"Szczytniki (2)";6535;927;224;1326;
3007112;"Żelazków (2)";8166;1571;249;1363;
3008000;"Powiat kępiński";48392;7422;1345;5547;
3008012;"Baranów (2)";6932;1122;206;757;
3008022;"Bralin (2)";5160;738;177;580;
3008033;"Kępno (3)";21133;3783;558;2120;
3008034;"Kępno - urban area (4)";12233;2534;312;1032;
3008035;"Kępno - rural area (5)";8900;1249;246;1088;
3008042;"Łęka Opatowska (2)";4465;559;125;615;
3008052;"Perzów (2)";3284;394;84;425;
3008062;"Rychtal (2)";3198;350;87;472;
3008072;"Trzcinica (2)";4220;476;108;578;
3009000;"Powiat kolski";72155;11334;2210;12895;
3009011;"Koło (1)";17961;3834;456;2016;
3009022;"Babiak (2)";6518;803;242;1361;
3009032;"Chodów (2)";2543;240;70;603;
3009043;"Dąbie (3)";5144;558;173;1243;
3009044;"Dąbie - urban area (4)";1584;227;48;304;
3009045;"Dąbie - rural area (5)";3560;331;125;939;
3009052;"Grzegorzew (2)";4686;657;153;919;
3009063;"Kłodawa (3)";10663;1543;334;2101;
3009064;"Kłodawa - urban area (4)";5392;883;153;853;
3009065;"Kłodawa - rural area (5)";5271;660;181;1248;
3009072;"Koło (2)";6661;1210;200;1108;
3009082;"Kościelec (2)";5683;1011;175;992;
3009092;"Olszówka (2)";3661;375;140;831;
3009102;"Osiek Mały (2)";5202;747;174;914;
3009113;"Przedecz (3)";3433;356;93;807;
3009114;"Przedecz - urban area (4)";1364;194;33;264;
3009115;"Przedecz - rural area (5)";2069;162;60;543;
3010000;"Powiat koniński";110097;18765;3447;18374;
3010013;"Golina (3)";10401;1870;334;1533;
3010014;"Golina - urban area (4)";3819;688;119;475;
3010015;"Golina - rural area (5)";6582;1182;215;1058;
3010022;"Grodziec (2)";4312;581;127;785;
3010032;"Kazimierz Biskupi (2)";9821;2224;303;1271;
3010043;"Kleczew (3)";8375;1274;248;1555;
3010044;"Kleczew - urban area (4)";3491;667;103;514;
3010045;"Kleczew - rural area (5)";4884;607;145;1041;
3010052;"Kramsk (2)";9775;1721;283;1587;
3010062;"Krzymów (2)";6866;1268;230;1063;
3010073;"Rychwał (3)";6916;1048;220;1176;
3010074;"Rychwał - urban area (4)";2059;496;60;215;
3010075;"Rychwał - rural area (5)";4857;552;160;961;
3010082;"Rzgów (2)";6112;1065;160;923;
3010092;"Skulsk (2)";5101;584;185;1096;
3010103;"Sompolno (3)";8723;1170;287;1779;
3010104;"Sompolno - urban area (4)";2979;529;100;466;
3010105;"Sompolno - rural area (5)";5744;641;187;1313;
3010112;"Stare Miasto (2)";10628;2685;330;1296;
3010123;"Ślesin (3)";12012;2160;358;2018;
3010124;"Ślesin - urban area (4)";2767;647;65;356;
3010125;"Ślesin - rural area (5)";9245;1513;293;1662;
3010132;"Wierzbinek (2)";5995;551;232;1326;
3010142;"Wilczyn (2)";5060;564;150;966;
3011000;"Powiat kościański";66357;11641;1881;7874;
3011011;"Kościan (1)";20791;4920;544;1844;
3011023;"Czempiń (3)";9647;1513;288;1153;
3011024;"Czempiń - urban area (4)";4161;805;114;382;
3011025;"Czempiń - rural area (5)";5486;708;174;771;
3011032;"Kościan (2)";13285;2193;400;1726;
3011043;"Krzywiń (3)";8135;1016;221;1154;
3011044;"Krzywiń - urban area (4)";1371;251;35;130;
3011045;"Krzywiń - rural area (5)";6764;765;186;1024;
3011053;"Śmigiel (3)";14499;1999;428;1997;
3011054;"Śmigiel - urban area (4)";4770;806;137;545;
3011055;"Śmigiel - rural area (5)";9729;1193;291;1452;
3012000;"Powiat krotoszyński";64771;10423;1904;7229;
3012011;"Sulmierzyce (1)";2362;322;78;247;
3012023;"Kobylin (3)";6631;811;206;822;
3012024;"Kobylin - urban area (4)";2696;448;72;258;
3012025;"Kobylin - rural area (5)";3935;363;134;564;
3012033;"Koźmin Wielkopolski (3)";11030;1621;349;1460;
3012034;"Koźmin Wielkopolski - urban area (4)";5486;1079;157;599;
3012035;"Koźmin Wielkopolski - rural area (5)";5544;542;192;861;
3012043;"Krotoszyn (3)";34196;6180;938;3501;
3012044;"Krotoszyn - urban area (4)";24773;5070;637;2175;
3012045;"Krotoszyn - rural area (5)";9423;1110;301;1326;
3012052;"Rozdrażew (2)";4203;438;127;562;
3012063;"Zduny (3)";6349;1051;206;637;
3012064;"Zduny - urban area (4)";3749;615;119;346;
3012065;"Zduny - rural area (5)";2600;436;87;291;
3013000;"Powiat leszczyński";48523;8633;1571;5572;
3013012;"Krzemieniewo (2)";6745;860;229;984;
3013022;"Lipno (2)";7400;1766;243;662;
3013033;"Osieczna (3)";7862;1301;260;966;
3013034;"Osieczna - urban area (4)";2081;495;57;182;
3013035;"Osieczna - rural area (5)";5781;806;203;784;
3013043;"Rydzyna (3)";8277;1763;258;979;
3013044;"Rydzyna - urban area (4)";2443;628;77;232;
3013045;"Rydzyna - rural area (5)";5834;1135;181;747;
3013052;"Święciechowa (2)";7051;1347;228;795;
3013062;"Wijewo (2)";3110;353;95;306;
3013072;"Włoszakowice (2)";8078;1243;258;880;
3014000;"Powiat międzychodzki";30866;4271;1083;4188;
3014012;"Chrzypsko Wielkie (2)";2766;309;121;451;
3014022;"Kwilcz (2)";5195;581;195;799;
3014033;"Międzychód (3)";15584;2410;511;1826;
3014034;"Międzychód - urban area (4)";8957;1470;287;960;
3014035;"Międzychód - rural area (5)";6627;940;224;866;
3014043;"Sieraków (3)";7321;971;256;1112;
3014044;"Sieraków - urban area (4)";5080;712;177;757;
3014045;"Sieraków - rural area (5)";2241;259;79;355;
3015000;"Powiat nowotomyski";63330;10527;1795;7242;
3015012;"Kuślin (2)";4416;545;138;657;
3015023;"Lwówek (3)";7504;804;268;1245;
3015024;"Lwówek - urban area (4)";2531;389;89;308;
3015025;"Lwówek - rural area (5)";4973;415;179;937;
3015032;"Miedzichowo (2)";3226;396;103;528;
3015043;"Nowy Tomyśl (3)";22975;4722;649;2168;
3015044;"Nowy Tomyśl - urban area (4)";12136;2572;306;1018;
3015045;"Nowy Tomyśl - rural area (5)";10839;2150;343;1150;
3015053;"Opalenica (3)";13554;2313;343;1435;
3015054;"Opalenica - urban area (4)";7947;1633;183;679;
3015055;"Opalenica - rural area (5)";5607;680;160;756;
3015063;"Zbąszyń (3)";11655;1747;294;1209;
3015064;"Zbąszyń - urban area (4)";6151;1130;143;504;
3015065;"Zbąszyń - rural area (5)";5504;617;151;705;
3016000;"Powiat obornicki";49904;8136;1687;6135;
3016013;"Oborniki (3)";28679;5330;1019;3239;
3016014;"Oborniki - urban area (4)";15056;2877;526;1481;
3016015;"Oborniki - rural area (5)";13623;2453;493;1758;
3016023;"Rogoźno (3)";15303;2186;447;1976;
3016024;"Rogoźno - urban area (4)";9395;1448;252;1039;
3016025;"Rogoźno - rural area (5)";5908;738;195;937;
3016032;"Ryczywół (2)";5922;620;221;920;
3017000;"Powiat ostrowski";137187;26396;3780;13325;
3017011;"Ostrów Wielkopolski (1)";61779;14962;1462;4605;
3017023;"Nowe Skalmierzyce (3)";13370;2384;364;1452;
3017024;"Nowe Skalmierzyce - urban area (4)";4113;773;124;352;
3017025;"Nowe Skalmierzyce - rural area (5)";9257;1611;240;1100;
3017033;"Odolanów (3)";12174;1807;377;1192;
3017034;"Odolanów - urban area (4)";4261;865;106;331;
3017035;"Odolanów - rural area (5)";7913;942;271;861;
3017042;"Ostrów Wielkopolski (2)";16199;2685;519;1849;
3017052;"Przygodzice (2)";10381;1715;310;1164;
3017063;"Raszków (3)";9841;1333;324;1101;
3017064;"Raszków - urban area (4)";1819;312;60;130;
3017065;"Raszków - rural area (5)";8022;1021;264;971;
3017072;"Sieroszewice (2)";8006;950;232;1053;
3017082;"Sośnie (2)";5437;560;192;909;
3018000;"Powiat ostrzeszowski";46959;7542;1283;5766;
3018012;"Czajków (2)";2115;249;91;421;
3018022;"Doruchów (2)";4340;512;137;649;
3018033;"Grabów nad Prosną (3)";6568;1057;162;807;
3018034;"Grabów nad Prosną - urban area (4)";1651;411;43;120;
3018035;"Grabów nad Prosną - rural area (5)";4917;646;119;687;
3018042;"Kobyla Góra (2)";5247;794;149;621;
3018052;"Kraszewice (2)";3006;429;73;440;
3018063;"Mikstat (3)";5010;631;143;792;
3018064;"Mikstat - urban area (4)";1501;274;33;139;
3018065;"Mikstat - rural area (5)";3509;357;110;653;
3018073;"Ostrzeszów (3)";20673;3870;528;2036;
3018074;"Ostrzeszów - urban area (4)";12251;2727;312;1028;
3018075;"Ostrzeszów - rural area (5)";8422;1143;216;1008;
3019000;"Powiat pilski";114955;23402;3862;13755;
3019011;"Piła (1)";62853;15636;1924;5739;
3019022;"Białośliwie (2)";3921;501;146;498;
3019032;"Kaczory (2)";6442;1084;224;836;
3019043;"Łobżenica (3)";7878;918;272;1553;
3019044;"Łobżenica - urban area (4)";2480;414;81;335;
3019045;"Łobżenica - rural area (5)";5398;504;191;1218;
3019052;"Miasteczko Krajeńskie (2)";2596;397;87;410;
3019062;"Szydłowo (2)";7881;1790;294;1094;
3019073;"Ujście (3)";6680;967;255;999;
3019074;"Ujście - urban area (4)";3088;460;120;400;
3019075;"Ujście - rural area (5)";3592;507;135;599;
3019083;"Wyrzysk (3)";11391;1529;485;1629;
3019084;"Wyrzysk - urban area (4)";4352;719;164;438;
3019085;"Wyrzysk - rural area (5)";7039;810;321;1191;
3019093;"Wysoka (3)";5313;580;175;997;
3019094;"Wysoka - urban area (4)";2172;350;63;294;
3019095;"Wysoka - rural area (5)";3141;230;112;703;
3020000;"Powiat pleszewski";53058;8940;1669;6566;
3020013;"Chocz (3)";3897;526;119;574;
