"Code";"Name";"total;place of residence;as of 30 June;total;2024;[person]";"in urban areas;place of residence;as of 30 June;total;2024;[person]";"in rural areas;place of residence;as of 30 June;total;2024;[person]";
0409044;"Strzelno - urban area (4)";5198;5198;0;
0409045;"Strzelno - rural area (5)";5616;0;5616;
0410000;"Powiat nakielski";82605;34566;48039;
0410000;"Powiat nakielski - URBAN-RURAL GMINAS";75685;34566;41119;
0410013;"Kcynia (3)";12074;4215;7859;
0410014;"Kcynia - urban area (4)";4215;4215;0;
0410015;"Kcynia - rural area (5)";7859;0;7859;
0410023;"Mrocza (3)";8812;4102;4710;
0410024;"Mrocza - urban area (4)";4102;4102;0;
0410025;"Mrocza - rural area (5)";4710;0;4710;
0410033;"Nakło nad Notecią (3)";29627;16884;12743;
0410034;"Nakło nad Notecią - urban area (4)";16884;16884;0;
0410035;"Nakło nad Notecią - rural area (5)";12743;0;12743;
0410042;"Sadki (2)";6920;0;6920;
0410053;"Szubin (3)";25172;9365;15807;
0410054;"Szubin - urban area (4)";9365;9365;0;
0410055;"Szubin - rural area (5)";15807;0;15807;
0411000;"Powiat radziejowski";37571;9173;28398;
0411000;"Powiat radziejowski - URBAN GMINAS";5006;5006;0;
0411000;"Powiat radziejowski - URBAN-RURAL GMINAS";8579;4167;4412;
0411011;"Radziejów (1)";5006;5006;0;
0411022;"Bytoń (2)";3298;0;3298;
0411032;"Dobre (2)";4845;0;4845;
0411042;"Osięciny (2)";7128;0;7128;
0411053;"Piotrków Kujawski (3)";8579;4167;4412;
0411054;"Piotrków Kujawski - urban area (4)";4167;4167;0;
0411055;"Piotrków Kujawski - rural area (5)";4412;0;4412;
0411062;"Radziejów (2)";4248;0;4248;
0411072;"Topólka (2)";4467;0;4467;
0412000;"Powiat rypiński";40989;15298;25691;
0412000;"Powiat rypiński - URBAN GMINAS";15298;15298;0;
0412011;"Rypin (1)";15298;15298;0;
0412022;"Brzuze (2)";4807;0;4807;
0412032;"Rogowo (2)";4579;0;4579;
0412042;"Rypin (2)";7289;0;7289;
0412052;"Skrwilno (2)";5342;0;5342;
0412062;"Wąpielsk (2)";3674;0;3674;
0413000;"Powiat sępoleński";38702;16592;22110;
0413000;"Powiat sępoleński - URBAN-RURAL GMINAS";34262;16592;17670;
0413013;"Kamień Krajeński (3)";6478;2318;4160;
0413014;"Kamień Krajeński - urban area (4)";2318;2318;0;
0413015;"Kamień Krajeński - rural area (5)";4160;0;4160;
0413023;"Sępólno Krajeńskie (3)";15023;8684;6339;
0413024;"Sępólno Krajeńskie - urban area (4)";8684;8684;0;
0413025;"Sępólno Krajeńskie - rural area (5)";6339;0;6339;
0413032;"Sośno (2)";4440;0;4440;
0413043;"Więcbork (3)";12761;5590;7171;
0413044;"Więcbork - urban area (4)";5590;5590;0;
0413045;"Więcbork - rural area (5)";7171;0;7171;
0414000;"Powiat świecki";94557;32945;61612;
0414000;"Powiat świecki - URBAN-RURAL GMINAS";51479;32945;18534;
0414012;"Bukowiec (2)";4864;0;4864;
0414022;"Dragacz (2)";6787;0;6787;
0414032;"Drzycim (2)";4764;0;4764;
0414042;"Jeżewo (2)";7659;0;7659;
0414052;"Lniano (2)";4040;0;4040;
0414063;"Nowe (3)";9605;5372;4233;
0414064;"Nowe - urban area (4)";5372;5372;0;
0414065;"Nowe - rural area (5)";4233;0;4233;
0414072;"Osie (2)";5395;0;5395;
0414083;"Pruszcz (3)";9142;2771;6371;
0414084;"Pruszcz - urban area (4)";2771;2771;0;
0414085;"Pruszcz - rural area (5)";6371;0;6371;
0414093;"Świecie (3)";32732;24802;7930;
0414094;"Świecie - urban area (4)";24802;24802;0;
0414095;"Świecie - rural area (5)";7930;0;7930;
0414102;"Świekatowo (2)";3516;0;3516;
0414112;"Warlubie (2)";6053;0;6053;
0415000;"Powiat toruński";114633;13620;101013;
0415000;"Powiat toruński - URBAN GMINAS";13620;13620;0;
0415011;"Chełmża (1)";13620;13620;0;
0415022;"Chełmża (2)";9446;0;9446;
0415032;"Czernikowo (2)";8850;0;8850;
0415042;"Lubicz (2)";21286;0;21286;
0415052;"Łubianka (2)";8191;0;8191;
0415062;"Łysomice (2)";10975;0;10975;
0415072;"Obrowo (2)";20769;0;20769;
0415082;"Wielka Nieszawka (2)";5202;0;5202;
0415092;"Zławieś Wielka (2)";16294;0;16294;
0416000;"Powiat tucholski";46848;12915;33933;
0416000;"Powiat tucholski - URBAN-RURAL GMINAS";19534;12915;6619;
0416012;"Cekcyn (2)";6783;0;6783;
0416022;"Gostycyn (2)";4880;0;4880;
0416032;"Kęsowo (2)";4230;0;4230;
0416042;"Lubiewo (2)";5808;0;5808;
0416052;"Śliwice (2)";5613;0;5613;
0416063;"Tuchola (3)";19534;12915;6619;
0416064;"Tuchola - urban area (4)";12915;12915;0;
0416065;"Tuchola - rural area (5)";6619;0;6619;
0417000;"Powiat wąbrzeski";32298;12820;19478;
0417000;"Powiat wąbrzeski - URBAN GMINAS";12820;12820;0;
0417011;"Wąbrzeźno (1)";12820;12820;0;
0417022;"Dębowa Łąka (2)";2943;0;2943;
0417032;"Książki (2)";3749;0;3749;
0417042;"Płużnica (2)";4484;0;4484;
0417052;"Ryńsk (2)";8302;0;8302;
0418000;"Powiat włocławski";81876;15875;66001;
0418000;"Powiat włocławski - URBAN GMINAS";3266;3266;0;
0418000;"Powiat włocławski - URBAN-RURAL GMINAS";38793;12609;26184;
0418011;"Kowal (1)";3266;3266;0;
0418022;"Baruchowo (2)";3283;0;3283;
0418032;"Boniewo (2)";3156;0;3156;
0418043;"Brześć Kujawski (3)";11002;4522;6480;
0418044;"Brześć Kujawski - urban area (4)";4522;4522;0;
0418045;"Brześć Kujawski - rural area (5)";6480;0;6480;
0418052;"Choceń (2)";7559;0;7559;
0418063;"Chodecz (3)";5395;1681;3714;
0418064;"Chodecz - urban area (4)";1681;1681;0;
0418065;"Chodecz - rural area (5)";3714;0;3714;
0418072;"Fabianki (2)";10258;0;10258;
0418083;"Izbica Kujawska (3)";7129;2445;4684;
0418084;"Izbica Kujawska - urban area (4)";2445;2445;0;
0418085;"Izbica Kujawska - rural area (5)";4684;0;4684;
0418092;"Kowal (2)";3852;0;3852;
0418102;"Lubanie (2)";4294;0;4294;
0418113;"Lubień Kujawski (3)";6706;1305;5401;
0418114;"Lubień Kujawski - urban area (4)";1305;1305;0;
0418115;"Lubień Kujawski - rural area (5)";5401;0;5401;
0418123;"Lubraniec (3)";8561;2656;5905;
0418124;"Lubraniec - urban area (4)";2656;2656;0;
0418125;"Lubraniec - rural area (5)";5905;0;5905;
0418132;"Włocławek (2)";7415;0;7415;
0419000;"Powiat żniński";67346;29174;38172;
0419000;"Powiat żniński - URBAN-RURAL GMINAS";60775;29174;31601;
0419013;"Barcin (3)";14078;6869;7209;
0419014;"Barcin - urban area (4)";6869;6869;0;
0419015;"Barcin - rural area (5)";7209;0;7209;
0419023;"Gąsawa (3)";4922;1393;3529;
0419024;"Gąsawa - urban area (4)";1393;1393;0;
0419025;"Gąsawa - rural area (5)";3529;0;3529;
0419033;"Janowiec Wielkopolski (3)";8420;3643;4777;
0419034;"Janowiec Wielkopolski - urban area (4)";3643;3643;0;
0419035;"Janowiec Wielkopolski - rural area (5)";4777;0;4777;
0419043;"Łabiszyn (3)";10629;4325;6304;
0419044;"Łabiszyn - urban area (4)";4325;4325;0;
0419045;"Łabiszyn - rural area (5)";6304;0;6304;
0419052;"Rogowo (2)";6571;0;6571;
0419063;"Żnin (3)";22726;12944;9782;
0419064;"Żnin - urban area (4)";12944;12944;0;
0419065;"Żnin - rural area (5)";9782;0;9782;
0461000;"City with powiat status Bydgoszcz";324984;324984;0;
0461000;"City with powiat status Bydgoszcz - URBAN GMINAS";324984;324984;0;
0461011;"Bydgoszcz (1)";324984;324984;0;
0462000;"City with powiat status Grudziądz";88214;88214;0;
0462000;"City with powiat status Grudziądz - URBAN GMINAS";88214;88214;0;
0462011;"Grudziądz (1)";88214;88214;0;
0463000;"City with powiat status Toruń";194273;194273;0;
0463000;"City with powiat status Toruń - URBAN GMINAS";194273;194273;0;
0463011;"Toruń (1)";194273;194273;0;
0464000;"City with powiat status Włocławek";100125;100125;0;
0464000;"City with powiat status Włocławek - URBAN GMINAS";100125;100125;0;
0464011;"Włocławek (1)";100125;100125;0;
0601000;"Powiat bialski";104522;22495;82027;
0601000;"Powiat bialski - URBAN GMINAS";20397;20397;0;
0601000;"Powiat bialski - URBAN-RURAL GMINAS";6677;2098;4579;
0601011;"Międzyrzec Podlaski (1)";15309;15309;0;
0601021;"Terespol (1)";5088;5088;0;
0601032;"Biała Podlaska (2)";15515;0;15515;
0601042;"Drelów (2)";5040;0;5040;
0601052;"Janów Podlaski (2)";4887;0;4887;
0601062;"Kodeń (2)";3224;0;3224;
0601072;"Konstantynów (2)";3739;0;3739;
0601082;"Leśna Podlaska (2)";4070;0;4070;
0601092;"Łomazy (2)";4526;0;4526;
0601102;"Międzyrzec Podlaski (2)";10256;0;10256;
0601113;"Piszczac (3)";6677;2098;4579;
0601114;"Piszczac - urban area (4)";2098;2098;0;
0601115;"Piszczac - rural area (5)";4579;0;4579;
0601122;"Rokitno (2)";2691;0;2691;
0601132;"Rossosz (2)";2053;0;2053;
0601142;"Sławatycze (2)";2232;0;2232;
0601152;"Sosnówka (2)";2095;0;2095;
0601162;"Terespol (2)";5940;0;5940;
0601172;"Tuczna (2)";2720;0;2720;
0601182;"Wisznice (2)";4451;0;4451;
0601192;"Zalesie (2)";4009;0;4009;
0602000;"Powiat biłgorajski";95661;33057;62604;
0602000;"Powiat biłgorajski - URBAN GMINAS";24621;24621;0;
0602000;"Powiat biłgorajski - URBAN-RURAL GMINAS";27383;8436;18947;
0602011;"Biłgoraj (1)";24621;24621;0;
0602022;"Aleksandrów (2)";3146;0;3146;
0602032;"Biłgoraj (2)";13491;0;13491;
0602042;"Biszcza (2)";3698;0;3698;
0602053;"Frampol (3)";5614;1330;4284;
0602054;"Frampol - urban area (4)";1330;1330;0;
0602055;"Frampol - rural area (5)";4284;0;4284;
0602063;"Goraj (3)";3845;894;2951;
0602064;"Goraj - urban area (4)";894;894;0;
0602065;"Goraj - rural area (5)";2951;0;2951;
0602073;"Józefów (3)";6310;2302;4008;
0602074;"Józefów - urban area (4)";2302;2302;0;
0602075;"Józefów - rural area (5)";4008;0;4008;
0602082;"Księżpol (2)";6688;0;6688;
0602092;"Łukowa (2)";3901;0;3901;
0602102;"Obsza (2)";3994;0;3994;
0602112;"Potok Górny (2)";4953;0;4953;
0602123;"Tarnogród (3)";6170;3093;3077;
0602124;"Tarnogród - urban area (4)";3093;3093;0;
0602125;"Tarnogród - rural area (5)";3077;0;3077;
0602132;"Tereszpol (2)";3786;0;3786;
0602143;"Turobin (3)";5444;817;4627;
0602144;"Turobin - urban area (4)";817;817;0;
0602145;"Turobin - rural area (5)";4627;0;4627;
0603000;"Powiat chełmski";73457;7278;66179;
0603000;"Powiat chełmski - URBAN GMINAS";3984;3984;0;
0603000;"Powiat chełmski - URBAN-RURAL GMINAS";12293;3294;8999;
0603011;"Rejowiec Fabryczny (1)";3984;3984;0;
0603022;"Białopole (2)";2808;0;2808;
0603032;"Chełm (2)";15309;0;15309;
0603042;"Dorohusk (2)";5775;0;5775;
0603052;"Dubienka (2)";2069;0;2069;
0603062;"Kamień (2)";4055;0;4055;
0603072;"Leśniowice (2)";3263;0;3263;
0603082;"Rejowiec Fabryczny (2)";3898;0;3898;
0603092;"Ruda-Huta (2)";4076;0;4076;
0603102;"Sawin (2)";5116;0;5116;
0603113;"Siedliszcze (3)";6368;1328;5040;
0603114;"Siedliszcze - urban area (4)";1328;1328;0;
0603115;"Siedliszcze - rural area (5)";5040;0;5040;
0603122;"Wierzbica (2)";4672;0;4672;
0603132;"Wojsławice (2)";3389;0;3389;
0603142;"Żmudź (2)";2750;0;2750;
0603153;"Rejowiec (3)";5925;1966;3959;
0603154;"Rejowiec - urban area (4)";1966;1966;0;
0603155;"Rejowiec - rural area (5)";3959;0;3959;
0604000;"Powiat hrubieszowski";56297;15811;40486;
0604000;"Powiat hrubieszowski - URBAN GMINAS";15811;15811;0;
0604011;"Hrubieszów (1)";15811;15811;0;
0604022;"Dołhobyczów (2)";4572;0;4572;
0604032;"Horodło (2)";4703;0;4703;
0604042;"Hrubieszów (2)";9095;0;9095;
0604052;"Mircze (2)";6140;0;6140;
0604062;"Trzeszczany (2)";3703;0;3703;
0604072;"Uchanie (2)";3970;0;3970;
0604082;"Werbkowice (2)";8303;0;8303;
0605000;"Powiat janowski";42537;12200;30337;
0605000;"Powiat janowski - URBAN-RURAL GMINAS";21105;12200;8905;
0605012;"Batorz (2)";3045;0;3045;
0605022;"Chrzanów (2)";2652;0;2652;
0605032;"Dzwola (2)";5865;0;5865;
0605042;"Godziszów (2)";5430;0;5430;
0605053;"Janów Lubelski (3)";14447;10792;3655;
0605054;"Janów Lubelski - urban area (4)";10792;10792;0;
0605055;"Janów Lubelski - rural area (5)";3655;0;3655;
0605063;"Modliborzyce (3)";6658;1408;5250;
0605064;"Modliborzyce - urban area (4)";1408;1408;0;
0605065;"Modliborzyce - rural area (5)";5250;0;5250;
0605072;"Potok Wielki (2)";4440;0;4440;
0606000;"Powiat krasnostawski";58609;18883;39726;
0606000;"Powiat krasnostawski - URBAN GMINAS";17213;17213;0;
0606000;"Powiat krasnostawski - URBAN-RURAL GMINAS";7630;1670;5960;
0606011;"Krasnystaw (1)";17213;17213;0;
0606022;"Fajsławice (2)";4408;0;4408;
0606032;"Gorzków (2)";3164;0;3164;
0606043;"Izbica (3)";7630;1670;5960;
0606044;"Izbica - urban area (4)";1670;1670;0;
0606045;"Izbica - rural area (5)";5960;0;5960;
0606052;"Krasnystaw (2)";8075;0;8075;
0606062;"Kraśniczyn (2)";3390;0;3390;
0606072;"Łopiennik Górny (2)";3546;0;3546;
0606092;"Rudnik (2)";2682;0;2682;
0606102;"Siennica Różana (2)";3725;0;3725;
0606112;"Żółkiewka (2)";4776;0;4776;
0607000;"Powiat kraśnicki";88693;35066;53627;
0607000;"Powiat kraśnicki - URBAN GMINAS";31055;31055;0;
0607000;"Powiat kraśnicki - URBAN-RURAL GMINAS";16058;4011;12047;
0607011;"Kraśnik (1)";31055;31055;0;
0607023;"Annopol (3)";7943;2302;5641;
0607024;"Annopol - urban area (4)";2302;2302;0;
0607025;"Annopol - rural area (5)";5641;0;5641;
0607032;"Dzierzkowice (2)";5208;0;5208;
0607042;"Gościeradów (2)";6778;0;6778;
0607052;"Kraśnik (2)";6976;0;6976;
0607062;"Szastarka (2)";5388;0;5388;
0607072;"Trzydnik Duży (2)";5873;0;5873;
0607083;"Urzędów (3)";8115;1709;6406;
0607084;"Urzędów - urban area (4)";1709;1709;0;
0607085;"Urzędów - rural area (5)";6406;0;6406;
0607092;"Wilkołaz (2)";5302;0;5302;
0607102;"Zakrzówek (2)";6055;0;6055;
0608000;"Powiat lubartowski";83652;26154;57498;
0608000;"Powiat lubartowski - URBAN GMINAS";19635;19635;0;
0608000;"Powiat lubartowski - URBAN-RURAL GMINAS";17072;6519;10553;
0608011;"Lubartów (1)";19635;19635;0;
0608022;"Abramów (2)";3809;0;3809;
0608032;"Firlej (2)";5629;0;5629;
0608042;"Jeziorzany (2)";2451;0;2451;
0608053;"Kamionka (3)";6511;1717;4794;
0608054;"Kamionka - urban area (4)";1717;1717;0;
0608055;"Kamionka - rural area (5)";4794;0;4794;
0608063;"Kock (3)";5655;2860;2795;
0608064;"Kock - urban area (4)";2860;2860;0;
0608065;"Kock - rural area (5)";2795;0;2795;
0608072;"Lubartów (2)";12113;0;12113;
0608082;"Michów (2)";5383;0;5383;
0608092;"Niedźwiada (2)";6180;0;6180;
0608103;"Ostrów Lubelski (3)";4906;1942;2964;
0608104;"Ostrów Lubelski - urban area (4)";1942;1942;0;
0608105;"Ostrów Lubelski - rural area (5)";2964;0;2964;
0608112;"Ostrówek (2)";3647;0;3647;
0608122;"Serniki (2)";4772;0;4772;
0608132;"Uścimów (2)";2961;0;2961;
0609000;"Powiat lubelski";164947;10308;154639;
0609000;"Powiat lubelski - URBAN-RURAL GMINAS";23446;10308;13138;
0609013;"Bełżyce (3)";12627;5868;6759;
0609014;"Bełżyce - urban area (4)";5868;5868;0;
0609015;"Bełżyce - rural area (5)";6759;0;6759;
0609022;"Borzechów (2)";3741;0;3741;
0609033;"Bychawa (3)";10819;4440;6379;
0609034;"Bychawa - urban area (4)";4440;4440;0;
0609035;"Bychawa - rural area (5)";6379;0;6379;
0609042;"Garbów (2)";8960;0;8960;
0609052;"Głusk (2)";15124;0;15124;
0609062;"Jabłonna (2)";8327;0;8327;
0609072;"Jastków (2)";15600;0;15600;
0609082;"Konopnica (2)";16030;0;16030;
0609092;"Krzczonów (2)";4061;0;4061;
0609102;"Niedrzwica Duża (2)";12081;0;12081;
0609112;"Niemce (2)";22177;0;22177;
0609122;"Strzyżewice (2)";8177;0;8177;
0609132;"Wojciechów (2)";6010;0;6010;
0609142;"Wólka (2)";14570;0;14570;
0609152;"Wysokie (2)";4013;0;4013;
0609162;"Zakrzew (2)";2630;0;2630;
0610000;"Powiat łęczyński";55653;17500;38153;
0610000;"Powiat łęczyński - URBAN-RURAL GMINAS";22234;17500;4734;
0610012;"Cyców (2)";7712;0;7712;
0610022;"Ludwin (2)";5615;0;5615;
0610033;"Łęczna (3)";22234;17500;4734;
0610034;"Łęczna - urban area (4)";17500;17500;0;
0610035;"Łęczna - rural area (5)";4734;0;4734;
0610042;"Milejów (2)";8584;0;8584;
0610052;"Puchaczów (2)";5528;0;5528;
0610062;"Spiczyn (2)";5980;0;5980;
0611000;"Powiat łukowski";100580;29345;71235;
0611000;"Powiat łukowski - URBAN GMINAS";29345;29345;0;
0611011;"Łuków (1)";27009;27009;0;
0611021;"Stoczek Łukowski (1)";2336;2336;0;
0611032;"Adamów (2)";5077;0;5077;
0611042;"Krzywda (2)";9754;0;9754;
0611052;"Łuków (2)";18555;0;18555;
0611062;"Serokomla (2)";3656;0;3656;
0611072;"Stanin (2)";9166;0;9166;
0611082;"Stoczek Łukowski (2)";7168;0;7168;
0611092;"Trzebieszów (2)";7077;0;7077;
0611102;"Wojcieszków (2)";6452;0;6452;
0611112;"Wola Mysłowska (2)";4330;0;4330;
0612000;"Powiat opolski";55337;16745;38592;
0612000;"Powiat opolski - URBAN-RURAL GMINAS";35122;16745;18377;
0612012;"Chodel (2)";6254;0;6254;
0612023;"Józefów nad Wisłą (3)";5992;789;5203;
0612024;"Józefów nad Wisłą - urban area (4)";789;789;0;
0612025;"Józefów nad Wisłą - rural area (5)";5203;0;5203;
0612032;"Karczmiska (2)";5280;0;5280;
0612042;"Łaziska (2)";4532;0;4532;
0612053;"Opole Lubelskie (3)";16092;7783;8309;
0612054;"Opole Lubelskie - urban area (4)";7783;7783;0;
0612055;"Opole Lubelskie - rural area (5)";8309;0;8309;
0612063;"Poniatowa (3)";13038;8173;4865;
0612064;"Poniatowa - urban area (4)";8173;8173;0;
0612065;"Poniatowa - rural area (5)";4865;0;4865;
0612072;"Wilków (2)";4149;0;4149;
0613000;"Powiat parczewski";32020;10118;21902;
0613000;"Powiat parczewski - URBAN-RURAL GMINAS";13622;10118;3504;
0613012;"Dębowa Kłoda (2)";3572;0;3572;
0613022;"Jabłoń (2)";3506;0;3506;
0613032;"Milanów (2)";3328;0;3328;
0613043;"Parczew (3)";13622;10118;3504;
0613044;"Parczew - urban area (4)";10118;10118;0;
0613045;"Parczew - rural area (5)";3504;0;3504;
0613052;"Podedwórze (2)";1479;0;1479;
0613062;"Siemień (2)";4253;0;4253;
0613072;"Sosnowica (2)";2260;0;2260;
0614000;"Powiat puławski";106511;50477;56034;
0614000;"Powiat puławski - URBAN GMINAS";43667;43667;0;
0614000;"Powiat puławski - URBAN-RURAL GMINAS";14792;6810;7982;
0614011;"Puławy (1)";43667;43667;0;
0614022;"Baranów (2)";3516;0;3516;
0614032;"Janowiec (2)";3551;0;3551;
0614043;"Kazimierz Dolny (3)";6250;3220;3030;
0614044;"Kazimierz Dolny - urban area (4)";3220;3220;0;
0614045;"Kazimierz Dolny - rural area (5)";3030;0;3030;
0614052;"Końskowola (2)";8336;0;8336;
0614062;"Kurów (2)";7345;0;7345;
0614072;"Markuszów (2)";2861;0;2861;
0614083;"Nałęczów (3)";8542;3590;4952;
0614084;"Nałęczów - urban area (4)";3590;3590;0;
0614085;"Nałęczów - rural area (5)";4952;0;4952;
0614092;"Puławy (2)";12228;0;12228;
0614102;"Wąwolnica (2)";4150;0;4150;
0614112;"Żyrzyn (2)";6065;0;6065;
0615000;"Powiat radzyński";54764;15503;39261;
0615000;"Powiat radzyński - URBAN GMINAS";14185;14185;0;
0615000;"Powiat radzyński - URBAN-RURAL GMINAS";4039;1318;2721;
0615011;"Radzyń Podlaski (1)";14185;14185;0;
0615022;"Borki (2)";5727;0;5727;
0615033;"Czemierniki (3)";4039;1318;2721;
0615034;"Czemierniki - urban area (4)";1318;1318;0;
0615035;"Czemierniki - rural area (5)";2721;0;2721;
0615042;"Kąkolewnica (2)";7512;0;7512;
0615052;"Komarówka Podlaska (2)";3775;0;3775;
0615062;"Radzyń Podlaski (2)";7888;0;7888;
0615072;"Ulan-Majorat (2)";5504;0;5504;
0615082;"Wohyń (2)";6134;0;6134;
0616000;"Powiat rycki";51233;22930;28303;
0616000;"Powiat rycki - URBAN GMINAS";13998;13998;0;
0616000;"Powiat rycki - URBAN-RURAL GMINAS";19053;8932;10121;
0616011;"Dęblin (1)";13998;13998;0;
0616022;"Kłoczew (2)";6782;0;6782;
0616032;"Nowodwór (2)";3879;0;3879;
0616043;"Ryki (3)";19053;8932;10121;
0616044;"Ryki - urban area (4)";8932;8932;0;
0616045;"Ryki - rural area (5)";10121;0;10121;
0616052;"Stężyca (2)";4717;0;4717;
0616062;"Ułęż (2)";2804;0;2804;
0617000;"Powiat świdnicki";69137;39013;30124;
0617000;"Powiat świdnicki - URBAN GMINAS";36603;36603;0;
0617000;"Powiat świdnicki - URBAN-RURAL GMINAS";10154;2410;7744;
0617011;"Świdnik (1)";36603;36603;0;
0617022;"Mełgiew (2)";10785;0;10785;
0617033;"Piaski (3)";10154;2410;7744;
0617034;"Piaski - urban area (4)";2410;2410;0;
0617035;"Piaski - rural area (5)";7744;0;7744;
0617042;"Rybczewice (2)";3182;0;3182;
0617052;"Trawniki (2)";8413;0;8413;
0618000;"Powiat tomaszowski";76509;23571;52938;
0618000;"Powiat tomaszowski - URBAN GMINAS";17709;17709;0;
0618000;"Powiat tomaszowski - URBAN-RURAL GMINAS";15954;5862;10092;
0618011;"Tomaszów Lubelski (1)";17709;17709;0;
0618022;"Bełżec (2)";3082;0;3082;
0618032;"Jarczów (2)";3132;0;3132;
0618042;"Krynice (2)";2952;0;2952;
0618053;"Lubycza Królewska (3)";5488;2111;3377;
0618054;"Lubycza Królewska - urban area (4)";2111;2111;0;
0618055;"Lubycza Królewska - rural area (5)";3377;0;3377;
0618063;"Łaszczów (3)";5411;1944;3467;
0618064;"Łaszczów - urban area (4)";1944;1944;0;
0618065;"Łaszczów - rural area (5)";3467;0;3467;
0618072;"Rachanie (2)";4568;0;4568;
0618082;"Susiec (2)";6878;0;6878;
0618092;"Tarnawatka (2)";3750;0;3750;
0618102;"Telatyn (2)";3477;0;3477;
0618112;"Tomaszów Lubelski (2)";11081;0;11081;
0618123;"Tyszowce (3)";5055;1807;3248;
0618124;"Tyszowce - urban area (4)";1807;1807;0;
0618125;"Tyszowce - rural area (5)";3248;0;3248;
0618132;"Ulhówek (2)";3926;0;3926;
0619000;"Powiat włodawski";35186;12030;23156;
0619000;"Powiat włodawski - URBAN GMINAS";12030;12030;0;
0619011;"Włodawa (1)";12030;12030;0;
0619022;"Hanna (2)";2453;0;2453;
0619032;"Hańsk (2)";3368;0;3368;
0619042;"Stary Brus (2)";1791;0;1791;
0619052;"Urszulin (2)";4048;0;4048;
0619062;"Włodawa (2)";5734;0;5734;
0619072;"Wola Uhruska (2)";3583;0;3583;
0619082;"Wyryki (2)";2179;0;2179;
0620000;"Powiat zamojski";100368;10399;89969;
0620000;"Powiat zamojski - URBAN-RURAL GMINAS";23148;10399;12749;
0620012;"Adamów (2)";4399;0;4399;
0620022;"Grabowiec (2)";3544;0;3544;
0620032;"Komarów-Osada (2)";4402;0;4402;
0620043;"Krasnobród (3)";6639;2935;3704;
0620044;"Krasnobród - urban area (4)";2935;2935;0;
0620045;"Krasnobród - rural area (5)";3704;0;3704;
0620052;"Łabunie (2)";5862;0;5862;
0620062;"Miączyn (2)";4943;0;4943;
0620072;"Nielisz (2)";5052;0;5052;
0620082;"Radecznica (2)";5013;0;5013;
0620092;"Sitno (2)";6516;0;6516;
0620102;"Skierbieszów (2)";4690;0;4690;
0620112;"Stary Zamość (2)";4769;0;4769;
0620122;"Sułów (2)";4028;0;4028;
0620133;"Szczebrzeszyn (3)";10462;4703;5759;
0620134;"Szczebrzeszyn - urban area (4)";4703;4703;0;
0620135;"Szczebrzeszyn - rural area (5)";5759;0;5759;
0620142;"Zamość (2)";24002;0;24002;
0620153;"Zwierzyniec (3)";6047;2761;3286;
0620154;"Zwierzyniec - urban area (4)";2761;2761;0;
0620155;"Zwierzyniec - rural area (5)";3286;0;3286;
0661000;"City with powiat status Biała Podlaska";54178;54178;0;
0661000;"City with powiat status Biała Podlaska - URBAN GMINAS";54178;54178;0;
0661011;"Biała Podlaska (1)";54178;54178;0;
0662000;"City with powiat status Chełm";56832;56832;0;
0662000;"City with powiat status Chełm - URBAN GMINAS";56832;56832;0;
0662011;"Chełm (1)";56832;56832;0;
0663000;"City with powiat status Lublin";328868;328868;0;
0663000;"City with powiat status Lublin - URBAN GMINAS";328868;328868;0;
0663011;"Lublin (1)";328868;328868;0;
0664000;"City with powiat status Zamość";57924;57924;0;
0664000;"City with powiat status Zamość - URBAN GMINAS";57924;57924;0;
