"Code";"Name";"registrations of departure, total;total;2021;[person]";"registrations of departure, total;total;2022;[person]";"registrations of departure, total;total;2023;[person]";
1413032;"Lipowiec Kościelny (2)";73;60;71;
1413042;"Radzanów (2)";39;47;60;
1413052;"Strzegowo (2)";74;62;83;
1413062;"Stupsk (2)";61;54;59;
1413072;"Szreńsk (2)";65;49;61;
1413082;"Szydłowo (2)";65;63;63;
1413092;"Wieczfnia Kościelna (2)";83;55;54;
1413102;"Wiśniewo (2)";83;62;55;
1414000;"Powiat nowodworski";944;839;896;
1414011;"Nowy Dwór Mazowiecki (1)";388;328;368;
1414022;"Czosnów (2)";98;96;108;
1414032;"Leoncin (2)";65;34;62;
1414043;"Nasielsk (3)";253;222;204;
1414044;"Nasielsk - urban area (4)";120;86;105;
1414045;"Nasielsk - rural area (5)";133;136;99;
1414052;"Pomiechówek (2)";76;95;85;
1414063;"Zakroczym (3)";64;64;69;
1414064;"Zakroczym - urban area (4)";33;28;29;
1414065;"Zakroczym - rural area (5)";31;36;40;
1415000;"Powiat ostrołęcki";969;974;869;
1415012;"Baranowo (2)";67;71;93;
1415022;"Czarnia (2)";39;30;18;
1415032;"Czerwin (2)";53;72;45;
1415042;"Goworowo (2)";62;88;61;
1415052;"Kadzidło (2)";101;104;102;
1415062;"Lelis (2)";80;98;96;
1415072;"Łyse (2)";93;74;68;
1415083;"Myszyniec (3)";121;127;117;
1415084;"Myszyniec - urban area (4)";42;45;35;
1415085;"Myszyniec - rural area (5)";79;82;82;
1415092;"Olszewo-Borki (2)";145;151;117;
1415102;"Rzekuń (2)";145;121;109;
1415112;"Troszyn (2)";63;38;43;
1416000;"Powiat ostrowski";744;733;727;
1416011;"Ostrów Mazowiecka (1)";231;255;209;
1416022;"Andrzejewo (2)";45;59;25;
1416032;"Boguty-Pianki (2)";20;36;26;
1416043;"Brok (3)";44;27;36;
1416044;"Brok - urban area (4)";33;20;31;
1416045;"Brok - rural area (5)";11;7;5;
1416052;"Małkinia Górna (2)";128;92;107;
1416062;"Nur (2)";34;34;33;
1416072;"Ostrów Mazowiecka (2)";107;111;163;
1416082;"Stary Lubotyń (2)";52;19;33;
1416092;"Szulborze Wielkie (2)";12;19;23;
1416102;"Wąsewo (2)";40;34;35;
1416112;"Zaręby Kościelne (2)";31;47;37;
1417000;"Powiat otwocki";1332;1261;1331;
1417011;"Józefów (1)";275;248;243;
1417021;"Otwock (1)";467;494;496;
1417032;"Celestynów (2)";115;112;110;
1417043;"Karczew (3)";175;167;187;
1417044;"Karczew - urban area (4)";123;124;129;
1417045;"Karczew - rural area (5)";52;43;58;
1417052;"Kołbiel (2)";74;68;87;
1417062;"Osieck (2)";32;33;34;
1417072;"Sobienie-Jeziory (2)";64;35;53;
1417082;"Wiązowna (2)";130;104;121;
1418000;"Powiat piaseczyński";2609;2455;2686;
1418013;"Góra Kalwaria (3)";290;311;296;
1418014;"Góra Kalwaria - urban area (4)";152;169;146;
1418015;"Góra Kalwaria - rural area (5)";138;142;150;
1418023;"Konstancin-Jeziorna (3)";309;298;333;
1418024;"Konstancin-Jeziorna - urban area (4)";232;207;241;
1418025;"Konstancin-Jeziorna - rural area (5)";77;91;92;
1418032;"Lesznowola (2)";363;396;429;
1418043;"Piaseczno (3)";1397;1239;1375;
1418044;"Piaseczno - urban area (4)";936;818;832;
1418045;"Piaseczno - rural area (5)";461;421;543;
1418052;"Prażmów (2)";124;89;129;
1418063;"Tarczyn (3)";126;122;124;
1418064;"Tarczyn - urban area (4)";53;46;43;
1418065;"Tarczyn - rural area (5)";73;76;81;
1419000;"Powiat płocki";1249;1230;1266;
1419012;"Bielsk (2)";110;94;87;
1419022;"Bodzanów (2)";75;108;;
1419023;"Bodzanów (3)";;;111;
1419024;"Bodzanów - urban area (4)";;;20;
1419025;"Bodzanów - rural area (5)";;;91;
1419032;"Brudzeń Duży (2)";81;84;79;
1419042;"Bulkowo (2)";40;63;70;
1419053;"Drobin (3)";109;99;92;
1419054;"Drobin - urban area (4)";47;35;27;
1419055;"Drobin - rural area (5)";62;64;65;
1419063;"Gąbin (3)";114;80;107;
1419064;"Gąbin - urban area (4)";41;31;26;
1419065;"Gąbin - rural area (5)";73;49;81;
1419072;"Łąck (2)";78;57;78;
1419082;"Mała Wieś (2)";43;61;51;
1419092;"Nowy Duninów (2)";37;33;46;
1419102;"Radzanowo (2)";94;93;85;
1419112;"Słubice (2)";42;41;44;
1419122;"Słupno (2)";116;115;108;
1419132;"Stara Biała (2)";159;147;146;
1419142;"Staroźreby (2)";93;81;99;
1419153;"Wyszogród (3)";58;74;63;
1419154;"Wyszogród - urban area (4)";17;36;32;
1419155;"Wyszogród - rural area (5)";41;38;31;
1420000;"Powiat płoński";972;930;941;
1420011;"Płońsk (1)";287;238;256;
1420021;"Raciąż (1)";75;89;50;
1420032;"Baboszewo (2)";65;84;72;
1420043;"Czerwińsk nad Wisłą (3)";72;65;47;
1420044;"Czerwińsk nad Wisłą - urban area (4)";5;5;8;
1420045;"Czerwińsk nad Wisłą - rural area (5)";67;60;39;
1420052;"Dzierzążnia (2)";40;46;39;
1420062;"Joniec (2)";19;25;35;
1420072;"Naruszewo (2)";52;74;79;
1420082;"Nowe Miasto (2)";47;;;
1420083;"Nowe Miasto (3)";;47;41;
1420084;"Nowe Miasto - urban area (4)";;20;16;
1420085;"Nowe Miasto - rural area (5)";;27;25;
1420092;"Płońsk (2)";76;71;89;
1420102;"Raciąż (2)";93;78;106;
1420113;"Sochocin (3)";89;55;58;
1420114;"Sochocin - urban area (4)";27;9;18;
1420115;"Sochocin - rural area (5)";62;46;40;
1420122;"Załuski (2)";57;58;69;
1421000;"Powiat pruszkowski";2440;2313;2281;
1421011;"Piastów (1)";402;298;349;
1421021;"Pruszków (1)";930;908;914;
1421033;"Brwinów (3)";443;402;398;
1421034;"Brwinów - urban area (4)";212;174;183;
1421035;"Brwinów - rural area (5)";231;228;215;
1421042;"Michałowice (2)";245;254;212;
1421052;"Nadarzyn (2)";128;166;175;
1421062;"Raszyn (2)";292;285;233;
1422000;"Powiat przasnyski";638;662;622;
1422011;"Przasnysz (1)";194;235;179;
1422023;"Chorzele (3)";148;125;123;
1422024;"Chorzele - urban area (4)";50;32;43;
1422025;"Chorzele - rural area (5)";98;93;80;
1422032;"Czernice Borowe (2)";55;59;50;
1422042;"Jednorożec (2)";71;61;89;
1422052;"Krasne (2)";61;52;52;
1422062;"Krzynowłoga Mała (2)";27;47;36;
1422072;"Przasnysz (2)";82;83;93;
1423000;"Powiat przysuski";447;449;411;
1423012;"Borkowice (2)";33;28;49;
1423022;"Gielniów (2)";39;51;29;
1423032;"Klwów (2)";38;36;29;
1423042;"Odrzywół (2)";50;42;26;
1423052;"Potworów (2)";44;42;33;
1423063;"Przysucha (3)";135;163;126;
1423064;"Przysucha - urban area (4)";93;92;71;
1423065;"Przysucha - rural area (5)";42;71;55;
1423072;"Rusinów (2)";51;33;50;
1423082;"Wieniawa (2)";57;54;69;
1424000;"Powiat pułtuski";557;546;510;
1424012;"Gzy (2)";40;42;53;
1424022;"Obryte (2)";68;61;33;
1424032;"Pokrzywnica (2)";54;35;53;
1424043;"Pułtusk (3)";255;269;275;
1424044;"Pułtusk - urban area (4)";179;218;204;
1424045;"Pułtusk - rural area (5)";76;51;71;
1424052;"Świercze (2)";50;37;33;
1424062;"Winnica (2)";39;47;21;
1424072;"Zatory (2)";51;55;42;
1425000;"Powiat radomski";1672;1624;1454;
1425011;"Pionki (1)";252;211;207;
1425022;"Gózd (2)";70;94;77;
1425033;"Iłża (3)";175;172;171;
1425034;"Iłża - urban area (4)";62;74;68;
1425035;"Iłża - rural area (5)";113;98;103;
1425042;"Jastrzębia (2)";66;65;66;
1425052;"Jedlińsk (2)";134;139;131;
1425062;"Jedlnia-Letnisko (2)";152;;;
1425063;"Jedlnia-Letnisko (3)";;156;115;
1425064;"Jedlnia-Letnisko - urban area (4)";;50;41;
1425065;"Jedlnia-Letnisko - rural area (5)";;106;74;
1425072;"Kowala (2)";116;125;122;
1425082;"Pionki (2)";150;88;118;
1425092;"Przytyk (2)";67;88;84;
1425103;"Skaryszew (3)";155;149;118;
1425104;"Skaryszew - urban area (4)";64;33;29;
1425105;"Skaryszew - rural area (5)";91;116;89;
1425112;"Wierzbica (2)";129;139;84;
1425122;"Wolanów (2)";85;74;52;
1425132;"Zakrzew (2)";121;124;109;
1426000;"Powiat siedlecki";919;964;856;
1426012;"Domanice (2)";47;43;23;
1426022;"Korczew (2)";33;45;38;
1426032;"Kotuń (2)";102;109;84;
1426042;"Mokobody (2)";47;57;62;
1426053;"Mordy (3)";65;69;56;
1426054;"Mordy - urban area (4)";27;25;13;
1426055;"Mordy - rural area (5)";38;44;43;
1426062;"Paprotnia (2)";39;32;27;
1426072;"Przesmyki (2)";40;56;32;
1426082;"Siedlce (2)";227;206;235;
1426092;"Skórzec (2)";69;77;67;
1426102;"Suchożebry (2)";35;46;38;
1426112;"Wiśniew (2)";74;80;54;
1426122;"Wodynie (2)";49;34;39;
1426132;"Zbuczyn (2)";92;110;101;
1427000;"Powiat sierpecki";697;590;668;
1427011;"Sierpc (1)";224;187;229;
1427022;"Gozdowo (2)";77;64;87;
1427032;"Mochowo (2)";77;69;65;
1427042;"Rościszewo (2)";64;46;49;
1427052;"Sierpc (2)";122;83;76;
1427062;"Szczutowo (2)";57;64;63;
1427072;"Zawidz (2)";76;77;99;
1428000;"Powiat sochaczewski";964;960;955;
1428011;"Sochaczew (1)";505;500;417;
1428022;"Brochów (2)";25;36;41;
1428032;"Iłów (2)";57;67;61;
1428042;"Młodzieszyn (2)";50;60;65;
1428052;"Nowa Sucha (2)";82;58;65;
1428062;"Rybno (2)";48;35;24;
1428072;"Sochaczew (2)";95;112;114;
1428082;"Teresin (2)";102;92;168;
1429000;"Powiat sokołowski";676;630;597;
1429011;"Sokołów Podlaski (1)";217;202;177;
1429022;"Bielany (2)";38;48;29;
1429032;"Ceranów (2)";48;22;35;
1429042;"Jabłonna Lacka (2)";47;66;58;
1429053;"Kosów Lacki (3)";75;73;63;
1429054;"Kosów Lacki - urban area (4)";26;37;17;
1429055;"Kosów Lacki - rural area (5)";49;36;46;
1429062;"Repki (2)";75;57;74;
1429072;"Sabnie (2)";54;58;41;
1429082;"Sokołów Podlaski (2)";81;70;76;
1429092;"Sterdyń (2)";41;34;44;
1430000;"Powiat szydłowiecki";462;473;512;
1430012;"Chlewiska (2)";63;63;45;
1430022;"Jastrząb (2)";50;57;;
1430023;"Jastrząb (3)";;;120;
1430024;"Jastrząb - urban area (4)";;;14;
1430025;"Jastrząb - rural area (5)";;;106;
1430032;"Mirów (2)";44;34;42;
1430042;"Orońsko (2)";82;65;73;
1430053;"Szydłowiec (3)";223;254;232;
1430054;"Szydłowiec - urban area (4)";145;155;142;
1430055;"Szydłowiec - rural area (5)";78;99;90;
1432000;"Powiat warszawski zachodni";1430;1550;1420;
1432013;"Błonie (3)";266;245;267;
1432014;"Błonie - urban area (4)";143;123;147;
1432015;"Błonie - rural area (5)";123;122;120;
1432022;"Izabelin (2)";132;140;89;
1432032;"Kampinos (2)";47;36;42;
1432042;"Leszno (2)";104;102;86;
1432053;"Łomianki (3)";355;448;374;
1432054;"Łomianki - urban area (4)";255;298;250;
1432055;"Łomianki - rural area (5)";100;150;124;
1432063;"Ożarów Mazowiecki (3)";320;339;391;
1432064;"Ożarów Mazowiecki - urban area (4)";154;154;168;
1432065;"Ożarów Mazowiecki - rural area (5)";166;185;223;
1432072;"Stare Babice (2)";206;240;171;
1433000;"Powiat węgrowski";708;656;691;
1433011;"Węgrów (1)";134;133;129;
1433022;"Grębków (2)";33;33;34;
1433032;"Korytnica (2)";98;67;57;
1433042;"Liw (2)";71;77;107;
1433053;"Łochów (3)";188;170;181;
1433054;"Łochów - urban area (4)";80;82;77;
1433055;"Łochów - rural area (5)";108;88;104;
1433062;"Miedzna (2)";44;38;46;
1433072;"Sadowne (2)";53;58;41;
1433082;"Stoczek (2)";53;53;49;
1433092;"Wierzbno (2)";34;27;47;
1434000;"Powiat wołomiński";3147;3003;3179;
1434011;"Kobyłka (1)";302;307;340;
1434021;"Marki (1)";496;476;584;
1434031;"Ząbki (1)";706;691;703;
1434041;"Zielonka (1)";244;228;250;
1434052;"Dąbrówka (2)";61;55;72;
1434062;"Jadów (2)";81;79;;
1434063;"Jadów (3)";;;82;
1434064;"Jadów - urban area (4)";;;10;
1434065;"Jadów - rural area (5)";;;72;
1434072;"Klembów (2)";69;63;88;
1434082;"Poświętne (2)";38;41;37;
1434093;"Radzymin (3)";347;279;281;
1434094;"Radzymin - urban area (4)";165;147;136;
1434095;"Radzymin - rural area (5)";182;132;145;
1434102;"Strachówka (2)";26;24;36;
1434113;"Tłuszcz (3)";191;148;181;
1434114;"Tłuszcz - urban area (4)";102;82;81;
1434115;"Tłuszcz - rural area (5)";89;66;100;
1434123;"Wołomin (3)";586;612;525;
1434124;"Wołomin - urban area (4)";445;463;391;
1434125;"Wołomin - rural area (5)";141;149;134;
1435000;"Powiat wyszkowski";732;838;678;
1435012;"Brańszczyk (2)";76;92;57;
1435022;"Długosiodło (2)";74;65;55;
1435032;"Rząśnik (2)";68;67;53;
1435042;"Somianka (2)";46;47;49;
1435053;"Wyszków (3)";426;511;413;
1435054;"Wyszków - urban area (4)";324;363;297;
1435055;"Wyszków - rural area (5)";102;148;116;
1435062;"Zabrodzie (2)";42;56;51;
1436000;"Powiat zwoleński";388;379;352;
1436012;"Kazanów (2)";51;54;45;
1436022;"Policzna (2)";85;72;67;
1436032;"Przyłęk (2)";53;38;62;
1436042;"Tczów (2)";45;50;36;
1436053;"Zwoleń (3)";154;165;142;
1436054;"Zwoleń - urban area (4)";85;111;81;
1436055;"Zwoleń - rural area (5)";69;54;61;
1437000;"Powiat żuromiński";564;518;512;
1437013;"Bieżuń (3)";63;62;67;
1437014;"Bieżuń - urban area (4)";21;28;17;
1437015;"Bieżuń - rural area (5)";42;34;50;
1437022;"Kuczbork-Osada (2)";67;60;64;
1437033;"Lubowidz (3)";105;126;83;
1437034;"Lubowidz - urban area (4)";17;60;22;
1437035;"Lubowidz - rural area (5)";88;66;61;
1437042;"Lutocin (2)";64;42;34;
1437052;"Siemiątkowo (2)";43;40;61;
1437063;"Żuromin (3)";222;188;203;
1437064;"Żuromin - urban area (4)";131;104;111;
1437065;"Żuromin - rural area (5)";91;84;92;
1438000;"Powiat żyrardowski";725;812;944;
1438011;"Żyrardów (1)";377;479;466;
1438023;"Mszczonów (3)";113;119;117;
1438024;"Mszczonów - urban area (4)";73;79;78;
1438025;"Mszczonów - rural area (5)";40;40;39;
1438032;"Puszcza Mariańska (2)";79;65;79;
1438042;"Radziejowice (2)";60;58;75;
1438053;"Wiskitki (3)";96;91;207;
1438054;"Wiskitki - urban area (4)";16;12;8;
1438055;"Wiskitki - rural area (5)";80;79;199;
1461000;"City with powiat status Ostrołęka";866;812;754;
1461011;"Ostrołęka (1)";866;812;754;
1462000;"City with powiat status Płock";1358;1211;1218;
1462011;"Płock (1)";1358;1211;1218;
1463000;"City with powiat status Radom";1938;1974;1926;
1463011;"Radom (1)";1938;1974;1926;
1464000;"City with powiat status Siedlce";1027;1027;1012;
1464011;"Siedlce (1)";1027;1027;1012;
1465000;"City with powiat status Capital City Warszawa";16517;16112;17559;
1465011;"Capital city Warszawa since 2002 (1)";16517;16112;17559;
1465028;"Bemowo - district (8)";1429;1468;1457;
1465038;"Białołęka - district (8)";1630;1609;1761;
1465048;"Bielany - district (8)";1185;1120;1109;
1465058;"Mokotów - district (8)";1841;1721;1973;
1465068;"Ochota - district (8)";651;675;741;
1465078;"Praga-Południe - district (8)";1408;1379;1492;
1465088;"Praga-Północ - district (8)";545;544;598;
1465098;"Rembertów - district (8)";236;188;206;
1465108;"Śródmieście - district (8)";785;837;842;
1465118;"Targówek - district (8)";1286;1095;1176;
1465128;"Ursus - district (8)";763;775;937;
1465138;"Ursynów - district (8)";1211;1234;1368;
1465148;"Wawer - district (8)";500;454;508;
1465158;"Wesoła - district (8)";220;182;219;
1465168;"Wilanów - district (8)";453;513;616;
1465178;"Włochy - district (8)";550;546;540;
1465188;"Wola - district (8)";1365;1334;1571;
1465198;"Żoliborz - district (8)";459;438;445;
1600000;"OPOLSKIE";12011;11046;10751;
1601000;"Powiat brzeski";1275;1125;1067;
1601011;"Brzeg (1)";500;443;423;
1601022;"Skarbimierz (2)";122;112;119;
1601033;"Grodków (3)";260;233;213;
1601034;"Grodków - urban area (4)";112;113;106;
1601035;"Grodków - rural area (5)";148;120;107;
1601043;"Lewin Brzeski (3)";210;181;152;
1601044;"Lewin Brzeski - urban area (4)";101;87;77;
1601045;"Lewin Brzeski - rural area (5)";109;94;75;
1601052;"Lubsza (2)";107;108;95;
1601062;"Olszanka (2)";76;48;65;
1602000;"Powiat głubczycki";588;575;490;
1602013;"Baborów (3)";70;76;76;
1602014;"Baborów - urban area (4)";33;26;26;
1602015;"Baborów - rural area (5)";37;50;50;
1602022;"Branice (2)";81;110;70;
1602033;"Głubczyce (3)";291;246;222;
1602034;"Głubczyce - urban area (4)";154;131;139;
1602035;"Głubczyce - rural area (5)";137;115;83;
1602043;"Kietrz (3)";146;143;122;
1602044;"Kietrz - urban area (4)";74;74;67;
1602045;"Kietrz - rural area (5)";72;69;55;
1603000;"Powiat kędzierzyńsko-kozielski";1110;933;1033;
1603011;"Kędzierzyn-Koźle (1)";689;608;691;
1603022;"Bierawa (2)";81;56;69;
1603032;"Cisek (2)";69;68;56;
1603042;"Pawłowiczki (2)";99;67;77;
1603052;"Polska Cerekiew (2)";76;45;65;
1603062;"Reńska Wieś (2)";96;89;75;
1604000;"Powiat kluczborski";864;828;840;
1604013;"Byczyna (3)";181;141;133;
1604014;"Byczyna - urban area (4)";68;61;42;
1604015;"Byczyna - rural area (5)";113;80;91;
1604023;"Kluczbork (3)";397;422;467;
1604024;"Kluczbork - urban area (4)";287;278;333;
1604025;"Kluczbork - rural area (5)";110;144;134;
1604032;"Lasowice Wielkie (2)";74;60;59;
1604043;"Wołczyn (3)";212;205;181;
1604044;"Wołczyn - urban area (4)";82;82;83;
1604045;"Wołczyn - rural area (5)";130;123;98;
1605000;"Powiat krapkowicki";781;639;638;
1605013;"Gogolin (3)";198;155;152;
1605014;"Gogolin - urban area (4)";88;77;80;
1605015;"Gogolin - rural area (5)";110;78;72;
1605023;"Krapkowice (3)";267;250;232;
1605024;"Krapkowice - urban area (4)";206;202;184;
1605025;"Krapkowice - rural area (5)";61;48;48;
1605032;"Strzeleczki (2)";61;31;32;
1605042;"Walce (2)";91;54;59;
1605053;"Zdzieszowice (3)";164;149;163;
1605054;"Zdzieszowice - urban area (4)";107;109;130;
1605055;"Zdzieszowice - rural area (5)";57;40;33;
1606000;"Powiat namysłowski";610;566;533;
1606012;"Domaszowice (2)";46;50;45;
1606023;"Namysłów (3)";345;355;326;
1606024;"Namysłów - urban area (4)";211;227;211;
1606025;"Namysłów - rural area (5)";134;128;115;
1606032;"Pokój (2)";76;43;72;
1606042;"Świerczów (2)";63;35;38;
1606052;"Wilków (2)";80;83;52;
1607000;"Powiat nyski";1706;1672;1637;
1607013;"Głuchołazy (3)";287;258;259;
1607014;"Głuchołazy - urban area (4)";157;135;127;
1607015;"Głuchołazy - rural area (5)";130;123;132;
1607022;"Kamiennik (2)";46;68;55;
1607033;"Korfantów (3)";92;143;134;
1607034;"Korfantów - urban area (4)";22;31;37;
1607035;"Korfantów - rural area (5)";70;112;97;
1607042;"Łambinowice (2)";90;88;84;
1607053;"Nysa (3)";743;680;616;
1607054;"Nysa - urban area (4)";573;494;483;
1607055;"Nysa - rural area (5)";170;186;133;
1607063;"Otmuchów (3)";191;196;205;
1607064;"Otmuchów - urban area (4)";76;93;100;
1607065;"Otmuchów - rural area (5)";115;103;105;
1607073;"Paczków (3)";148;123;141;
1607074;"Paczków - urban area (4)";97;86;96;
1607075;"Paczków - rural area (5)";51;37;45;
1607082;"Pakosławice (2)";49;38;64;
1607092;"Skoroszyce (2)";60;78;79;
1608000;"Powiat oleski";747;681;662;
1608013;"Dobrodzień (3)";108;100;76;
1608014;"Dobrodzień - urban area (4)";40;27;40;
1608015;"Dobrodzień - rural area (5)";68;73;36;
1608023;"Gorzów Śląski (3)";93;85;81;
1608024;"Gorzów Śląski - urban area (4)";30;28;19;
1608025;"Gorzów Śląski - rural area (5)";63;57;62;
1608033;"Olesno (3)";169;169;147;
1608034;"Olesno - urban area (4)";71;88;70;
1608035;"Olesno - rural area (5)";98;81;77;
1608043;"Praszka (3)";209;153;200;
1608044;"Praszka - urban area (4)";144;112;132;
1608045;"Praszka - rural area (5)";65;41;68;
1608052;"Radłów (2)";57;43;40;
1608062;"Rudniki (2)";70;86;83;
1608072;"Zębowice (2)";41;45;35;
1609000;"Powiat opolski";1431;1282;1140;
1609012;"Chrząstowice (2)";79;58;64;
1609022;"Dąbrowa (2)";71;98;86;
1609032;"Dobrzeń Wielki (2)";150;104;116;
1609042;"Komprachcice (2)";146;100;76;
1609052;"Łubniany (2)";82;69;71;
1609062;"Murów (2)";73;59;63;
1609073;"Niemodlin (3)";216;182;130;
1609074;"Niemodlin - urban area (4)";130;107;78;
1609075;"Niemodlin - rural area (5)";86;75;52;
1609083;"Ozimek (3)";203;219;205;
1609084;"Ozimek - urban area (4)";122;150;129;
1609085;"Ozimek - rural area (5)";81;69;76;
1609092;"Popielów (2)";81;71;59;
1609103;"Prószków (3)";73;75;69;
1609104;"Prószków - urban area (4)";32;26;30;
1609105;"Prószków - rural area (5)";41;49;39;
1609112;"Tarnów Opolski (2)";93;83;59;
1609123;"Tułowice (3)";69;62;64;
1609124;"Tułowice - urban area (4)";51;43;52;
1609125;"Tułowice - rural area (5)";18;19;12;
1609132;"Turawa (2)";95;102;78;
1610000;"Powiat prudnicki";716;672;625;
1610013;"Biała (3)";153;141;101;
1610014;"Biała - urban area (4)";40;43;24;
1610015;"Biała - rural area (5)";113;98;77;
1610023;"Głogówek (3)";169;174;178;
1610024;"Głogówek - urban area (4)";73;84;94;
1610025;"Głogówek - rural area (5)";96;90;84;
1610032;"Lubrza (2)";76;52;40;
1610043;"Prudnik (3)";318;305;306;
1610044;"Prudnik - urban area (4)";248;225;222;
1610045;"Prudnik - rural area (5)";70;80;84;
1611000;"Powiat strzelecki";915;906;860;
1611012;"Izbicko (2)";42;43;56;
1611022;"Jemielnica (2)";79;61;55;
1611033;"Kolonowskie (3)";43;34;49;
1611034;"Kolonowskie - urban area (4)";21;20;22;
1611035;"Kolonowskie - rural area (5)";22;14;27;
1611043;"Leśnica (3)";113;123;118;
1611044;"Leśnica - urban area (4)";38;39;41;
1611045;"Leśnica - rural area (5)";75;84;77;
1611053;"Strzelce Opolskie (3)";395;413;406;
1611054;"Strzelce Opolskie - urban area (4)";247;236;246;
1611055;"Strzelce Opolskie - rural area (5)";148;177;160;
1611063;"Ujazd (3)";86;61;52;
1611064;"Ujazd - urban area (4)";26;9;5;
1611065;"Ujazd - rural area (5)";60;52;47;
1611073;"Zawadzkie (3)";157;171;124;
1611074;"Zawadzkie - urban area (4)";107;125;88;
1611075;"Zawadzkie - rural area (5)";50;46;36;
1661000;"City with powiat status Opole";1268;1167;1226;
1661011;"Opole (1)";1268;1167;1226;
1800000;"PODKARPACKIE";23383;22811;21807;
1801000;"Powiat bieszczadzki";284;308;249;
1801032;"Czarna (2)";31;44;35;
1801052;"Lutowiska (2)";21;31;19;
1801083;"Ustrzyki Dolne (3)";232;233;195;
1801084;"Ustrzyki Dolne - urban area (4)";154;148;128;
1801085;"Ustrzyki Dolne - rural area (5)";78;85;67;
1802000;"Powiat brzozowski";733;639;683;
1802013;"Brzozów (3)";304;284;265;
1802014;"Brzozów - urban area (4)";108;108;120;
1802015;"Brzozów - rural area (5)";196;176;145;
1802022;"Domaradz (2)";60;59;75;
1802032;"Dydnia (2)";95;76;68;
1802042;"Haczów (2)";97;72;93;
1802052;"Jasienica Rosielna (2)";89;67;79;
1802062;"Nozdrzec (2)";88;81;103;
1803000;"Powiat dębicki";1542;1540;1402;
1803011;"Dębica (1)";641;640;594;
1803023;"Brzostek (3)";168;149;121;
1803024;"Brzostek - urban area (4)";30;58;33;
1803025;"Brzostek - rural area (5)";138;91;88;
1803032;"Czarna (2)";130;139;96;
1803042;"Dębica (2)";263;260;224;
1803052;"Jodłowa (2)";43;63;30;
1803063;"Pilzno (3)";114;167;193;
1803064;"Pilzno - urban area (4)";43;51;53;
1803065;"Pilzno - rural area (5)";71;116;140;
1803072;"Żyraków (2)";183;122;144;
1804000;"Powiat jarosławski";1439;1435;1276;
1804011;"Jarosław (1)";513;466;435;
1804021;"Radymno (1)";79;69;83;
1804032;"Chłopice (2)";63;47;42;
1804042;"Jarosław (2)";139;164;149;
1804052;"Laszki (2)";61;83;62;
1804062;"Pawłosiów (2)";90;118;104;
1804073;"Pruchnik (3)";133;124;99;
1804074;"Pruchnik - urban area (4)";38;32;34;
1804075;"Pruchnik - rural area (5)";95;92;65;
1804082;"Radymno (2)";115;131;107;
1804092;"Rokietnica (2)";50;52;35;
1804102;"Roźwienica (2)";72;76;79;
1804112;"Wiązownica (2)";124;105;81;
1805000;"Powiat jasielski";1199;1156;1075;
1805011;"Jasło (1)";423;394;334;
1805022;"Brzyska (2)";47;61;58;
1805032;"Dębowiec (2)";60;64;95;
1805042;"Jasło (2)";184;159;129;
1805053;"Kołaczyce (3)";107;83;89;
1805054;"Kołaczyce - urban area (4)";11;13;23;
1805055;"Kołaczyce - rural area (5)";96;70;66;
1805062;"Krempna (2)";40;27;27;
1805072;"Nowy Żmigród (2)";75;105;95;
1805082;"Osiek Jasielski (2)";64;55;54;
1805092;"Skołyszyn (2)";119;135;113;
1805112;"Tarnowiec (2)";80;73;81;
1806000;"Powiat kolbuszowski";601;525;548;
1806012;"Cmolas (2)";75;66;62;
1806023;"Kolbuszowa (3)";244;213;217;
1806024;"Kolbuszowa - urban area (4)";143;106;114;
1806025;"Kolbuszowa - rural area (5)";101;107;103;
1806032;"Majdan Królewski (2)";95;92;89;
1806042;"Niwiska (2)";48;55;44;
1806052;"Raniżów (2)";82;58;68;
1806062;"Dzikowiec (2)";57;41;68;
1807000;"Powiat krośnieński";1070;1191;1140;
1807012;"Chorkówka (2)";101;116;126;
1807023;"Dukla (3)";120;139;151;
1807024;"Dukla - urban area (4)";28;35;34;
1807025;"Dukla - rural area (5)";92;104;117;
1807033;"Iwonicz-Zdrój (3)";133;123;128;
1807034;"Iwonicz-Zdrój - urban area (4)";38;30;26;
1807035;"Iwonicz-Zdrój - rural area (5)";95;93;102;
1807043;"Jedlicze (3)";170;177;160;
1807044;"Jedlicze - urban area (4)";68;75;62;
1807045;"Jedlicze - rural area (5)";102;102;98;
1807052;"Korczyna (2)";108;98;98;
1807062;"Krościenko Wyżne (2)";49;79;55;
1807072;"Miejsce Piastowe (2)";130;145;135;
1807083;"Rymanów (3)";162;207;177;
1807084;"Rymanów - urban area (4)";63;45;46;
1807085;"Rymanów - rural area (5)";99;162;131;
1807092;"Wojaszówka (2)";81;83;93;
1807102;"Jaśliska (2)";16;24;17;
1808000;"Powiat leżajski";764;820;820;
1808011;"Leżajsk (1)";202;239;231;
1808022;"Grodzisko Dolne (2)";84;92;72;
1808032;"Kuryłówka (2)";67;54;53;
1808042;"Leżajsk (2)";210;189;237;
1808053;"Nowa Sarzyna (3)";201;246;227;
1808054;"Nowa Sarzyna - urban area (4)";91;119;126;
1808055;"Nowa Sarzyna - rural area (5)";110;127;101;
1809000;"Powiat lubaczowski";738;748;614;
1809011;"Lubaczów (1)";181;192;143;
1809023;"Cieszanów (3)";102;104;76;
1809024;"Cieszanów - urban area (4)";31;38;30;
